category,name
Physiology or Medicine,Georg von Békésy
Chemistry,Georg Wittig
Economic Sciences,George A. Akerlof
Chemistry,George A. Olah
Physiology or Medicine,George Beadle
Literature,George Bernard Shaw
Peace,George C. Marshall
Physiology or Medicine,George D. Snell
Chemistry,George de Hevesy
Physiology or Medicine,George E. Palade
Physics,George E. Smith
Physics,George F. Smoot
Physiology or Medicine,George H. Hitchings
Physiology or Medicine,George H. Whipple
Economic Sciences,George J. Stigler
Chemistry,George P. Smith
Physics,George Paget Thomson
Chemistry,George Porter
Physiology or Medicine,George R. Minot
Physiology or Medicine,George Wald
Physics,Georges Charpak
Physiology or Medicine,Georges J.F. Köhler
Peace,Georges Pire
Physiology or Medicine,Gerald M. Edelman
Economic Sciences,Gerard Debreu
Physics,Gérard Mourou
Physics,Gerardus 't Hooft
Physics,Gerd Binnig
Physiology or Medicine,Gerhard Domagk
Chemistry,Gerhard Ertl
Chemistry,Gerhard Herzberg
Literature,Gerhart Hauptmann
Physiology or Medicine,Gertrude B. Elion
Physiology or Medicine,Gerty Cori
Literature,Giorgos Seferis
Literature,Giosuè Carducci
Chemistry,Giulio Natta
Chemistry,Glenn T. Seaborg
Physiology or Medicine,Godfrey N. Hounsfield
Peace,Grameen Bank
Literature,Grazia Deledda
Physiology or Medicine,Gregg L. Semenza
Physics,Guglielmo Marconi
Economic Sciences,Gunnar Myrdal
Physiology or Medicine,Günter Blobel
Literature,Günter Grass
Physics,Gustaf Dalén
Physics,Gustav Hertz
Peace,Gustav Stresemann
Physics,H. David Politzer
Physiology or Medicine,H. Gobind Khorana
Physiology or Medicine,H. Robert Horvitz
Literature,Halldór Laxness
Physiology or Medicine,Hamilton O. Smith
Physics,Hannes Alfvén
Physics,Hans Bethe
Chemistry,Hans Fischer
Physics,Hans G. Dehmelt
Physiology or Medicine,Hans Krebs
Physiology or Medicine,Hans Spemann
Chemistry,Hans von Euler-Chelpin
Physiology or Medicine,Harald zur Hausen
Chemistry,Harold C. Urey
Physiology or Medicine,Harold E. Varmus
Literature,Harold Pinter
Economic Sciences,Harry M. Markowitz
Literature,Harry Martinson
Chemistry,Hartmut Michel
Physics,Heike Kamerlingh Onnes
Literature,Heinrich Böll
Physics,Heinrich Rohrer
Chemistry,Heinrich Wieland
Physics,Hendrik A. Lorentz
Physics,Henri Becquerel
Literature,Henri Bergson
Peace,Henri La Fontaine
Chemistry,Henri Moissan
Physiology or Medicine,Henrik Dam
Literature,Henrik Pontoppidan
Peace,Henry Dunant
Peace,Henry Kissinger
Chemistry,Henry Taube
Physics,Henry W. Kendall
Literature,Henryk Sienkiewicz
Chemistry,Herbert A. Hauptman
Chemistry,Herbert C. Brown
Physics,Herbert Kroemer
Physiology or Medicine,Herbert S. Gasser
Economic Sciences,Herbert Simon
Literature,Hermann Hesse
Physiology or Medicine,Hermann J. Muller
Chemistry,Hermann Staudinger
Literature,Herta Müller
Chemistry,Hideki Shirakawa
Physics,Hideki Yukawa
Physics,Hiroshi Amano
Peace,Hjalmar Branting
Physics,Horst L. Störmer
Physiology or Medicine,Howard M. Temin
Physiology or Medicine,Hugo Theorell
Physics,Igor Y. Tamm
Physics,Il´ja M. Frank
Physiology or Medicine,Ilya Mechnikov
Chemistry,Ilya Prigogine
Literature,Imre Kertész
Peace,Institute of International Law
Peace,Intergovernmental Panel on Climate Change
Peace,International Atomic Energy Agency
Peace,International Campaign to Abolish Nuclear Weapons (ICAN)
Peace,International Campaign to Ban Landmines
Peace,International Committee of the Red Cross
Peace,International Labour Organization
Peace,International Physicians for the Prevention of Nuclear War
Chemistry,Irène Joliot-Curie
Chemistry,Irving Langmuir
Chemistry,Irwin Rose
Literature,Isaac Bashevis Singer
Physics,Isamu Akasaki
Physics,Isidor Isaac Rabi
Literature,Ivan Bunin
Physiology or Medicine,Ivan Pavlov
Physics,Ivar Giaever
Literature,Ivo Andric
Physics,J. Georg Bednorz
Physics,J. Hans D. Jensen
Literature,J. M. Coetzee
Physiology or Medicine,J. Michael Bishop
Physics,J. Michael Kosterlitz
Physiology or Medicine,J. Robin Warren
Physics,J.J. Thomson
Literature,Jacinto Benavente
Physics,Jack Kilby
Physics,Jack Steinberger
Physiology or Medicine,Jack W. Szostak
Chemistry,Jacobus H. van 't Hoff
Chemistry,Jacques Dubochet
Physiology or Medicine,Jacques Monod
Economic Sciences,James A. Mirrlees
Chemistry,James B. Sumner
Physics,James Chadwick
Physics,James Cronin
Economic Sciences,James E. Meade
Physiology or Medicine,James E. Rothman
Physics,James Franck
Economic Sciences,James J. Heckman
Economic Sciences,James M. Buchanan Jr.
Physiology or Medicine,James P. Allison
Physics,James Peebles
Physics,James Rainwater
Economic Sciences,James Tobin
Physiology or Medicine,James Watson
Economic Sciences,Jan Tinbergen
Peace,Jane Addams
Chemistry,Jaroslav Heyrovsky
Literature,Jaroslav Seifert
Physics,Jean Baptiste Perrin
Physiology or Medicine,Jean Dausset
Economic Sciences,Jean Tirole
Literature,Jean-Marie Gustave Le Clézio
Chemistry,Jean-Marie Lehn
Literature,Jean-Paul Sartre
Chemistry,Jean-Pierre Sauvage
Physiology or Medicine,Jeffrey C. Hall
Chemistry,Jens C. Skou
Physics,Jerome I. Friedman
Chemistry,Jerome Karle
Peace,Jimmy Carter
Chemistry,Joachim Frank
Peace,Jody Williams
Chemistry,Johann Deisenhofer
Physics,Johannes Diderik van der Waals
Physiology or Medicine,Johannes Fibiger
Physics,Johannes Stark
Literature,Johannes V. Jensen
Chemistry,John B. Fenn
Chemistry,John B. Goodenough
Physics,John Bardeen
Economic Sciences,John C. Harsanyi
Chemistry,John C. Kendrew
Physics,John C. Mather
Chemistry,John C. Polanyi
Physics,John Cockcroft
Chemistry,John Cornforth
Physiology or Medicine,John E. Sulston
Chemistry,John E. Walker
Physiology or Medicine,John F. Enders
Economic Sciences,John F. Nash Jr.
Literature,John Galsworthy
Chemistry,John H. Northrop
Physics,John H. van Vleck
Peace,John Hume
Physics,John L. Hall
Physiology or Medicine,John Macleod
Physiology or Medicine,John O'Keefe
Chemistry,John Pople
Economic Sciences,John R. Hicks
Peace,John R. Mott
Physiology or Medicine,John R. Vane
Literature,John Steinbeck
Literature,José Echegaray
Peace,José Ramos-Horta
Literature,José Saramago
Literature,Joseph Brodsky
Physiology or Medicine,Joseph E. Murray
Economic Sciences,Joseph E. Stiglitz
Physiology or Medicine,Joseph Erlanger
Physics,Joseph H. Taylor Jr.
Physiology or Medicine,Joseph L. Goldstein
Peace,Joseph Rotblat
Physiology or Medicine,Joshua Lederberg
Peace,Juan Manuel Santos
Literature,Juan Ramón Jiménez
Physiology or Medicine,Jules A. Hoffmann
Physiology or Medicine,Jules Bordet
Physics,Julian Schwinger
Physiology or Medicine,Julius Axelrod
Physiology or Medicine,Julius Wagner-Jauregg
Physics,K. Alex Müller
Physics,Kai M. Siegbahn
Peace,Kailash Satyarthi
Literature,Karl Gjellerup
Physiology or Medicine,Karl Landsteiner
Physiology or Medicine,Karl von Frisch
Chemistry,Karl Ziegler
Chemistry,Kary B. Mullis
Literature,Kazuo Ishiguro
Physiology or Medicine,Keffer Hartline
Chemistry,Kenichi Fukui
Physics,Kenneth G. Wilson
Economic Sciences,Kenneth J. Arrow
Literature,Kenzaburo Oe
Peace,Kim Dae-jung
Physics,Kip S. Thorne
Peace,Klas Pontus Arnoldson
Physics,Klaus von Klitzing
Literature,Knut Hamsun
Peace,Kofi Annan
Chemistry,Koichi Tanaka
Physiology or Medicine,Konrad Bloch
Physiology or Medicine,Konrad Lorenz
Physics,Konstantin Novoselov
Chemistry,Kurt Alder
Chemistry,Kurt Wüthrich
Chemistry,Lars Onsager
Economic Sciences,Lars Peter Hansen
Physics,Lawrence Bragg
Economic Sciences,Lawrence R. Klein
Peace,Le Duc Tho 
Peace,League of Red Cross Societies
Peace,Lech Walesa
Physiology or Medicine,Leland Hartwell
Physics,Leo Esaki
Peace,Léon Bourgeois
Peace,Léon Jouhaux
Physics,Leon M. Lederman
Physics,Leon N. Cooper
Economic Sciences,Leonid Hurwicz
Economic Sciences,Leonid Vitaliyevich Kantorovich
Chemistry,Leopold Ruzicka
Peace,Lester Bowles Pearson
Physics,Lev Landau
Peace,Leymah Gbowee
Physiology or Medicine,Linda B. Buck
Peace,Linus Pauling
Peace,Liu Xiaobo
Economic Sciences,Lloyd S. Shapley
Peace,Lord Boyd Orr
Physics,Lord Rayleigh
Chemistry,Lord Todd
Physics,Louis de Broglie
Physiology or Medicine,Louis J. Ignarro
Physics,Louis Néel
Peace,Louis Renault
Physiology or Medicine,Luc Montagnier
Peace,Ludwig Quidde
Literature,Luigi Pirandello
Physics,Luis Alvarez
Chemistry,Luis Leloir
Chemistry,M. Stanley Whittingham
Peace,Mairead Corrigan
Physics,Makoto Kobayashi
Peace,Malala Yousafzai
Chemistry,Manfred Eigen
Physics,Manne Siegbahn
Physics,Maria Goeppert Mayer
Physics,Marie Curie
Chemistry,Mario J. Molina
Physiology or Medicine,Mario R. Capecchi
Literature,Mario Vargas Llosa
Physiology or Medicine,Marshall W. Nirenberg
Chemistry,Martin Chalfie
Chemistry,Martin Karplus
Physics,Martin L. Perl
Peace,Martin Luther King Jr.
Physiology or Medicine,Martin Rodbell
Physics,Martin Ryle
Physics,Martinus J.G. Veltman
Peace,Martti Ahtisaari
Physics,Masatoshi Koshiba
Economic Sciences,Maurice Allais
Literature,Maurice Maeterlinck
Physiology or Medicine,Maurice Wilkins
Physics,Max Born
Physiology or Medicine,Max Delbrück
Chemistry,Max F. Perutz
Physics,Max Planck
Physiology or Medicine,Max Theiler
Physics,Max von Laue
Physiology or Medicine,May-Britt Moser
Peace,Médecins Sans Frontières
Chemistry,Melvin Calvin
Physics,Melvin Schwartz
Peace,Menachem Begin
Economic Sciences,Merton H. Miller
Economic Sciences,Michael Kremer
Chemistry,Michael Levitt
Physiology or Medicine,Michael Rosbash
Physiology or Medicine,Michael S. Brown
Chemistry,Michael Smith
Physiology or Medicine,Michael W. Young
Physics,Michel Mayor
Literature,Miguel Angel Asturias
Peace,Mikhail Gorbachev
Literature,Mikhail Sholokhov
Economic Sciences,Milton Friedman
Literature,Mo Yan
Peace,Mohamed ElBaradei
Peace,Mother Teresa 
Peace,Muhammad Yunus
Physics,Murray Gell-Mann
Economic Sciences,Myron Scholes
Peace,Nadia Murad
Literature,Nadine Gordimer
Literature,Naguib Mahfouz
Peace,Nansen International Office for Refugees
Peace,Nathan Söderblom
Peace,National Dialogue Quartet 
Literature,Nelly Sachs
Peace,Nelson Mandela
Peace,Nicholas Murray Butler
Physics,Nicolaas Bloembergen
Physics,Nicolay G. Basov
Physics,Niels Bohr
Physiology or Medicine,Niels K. Jerne
Physiology or Medicine,Niels Ryberg Finsen
Physiology or Medicine,Nikolaas Tinbergen
Chemistry,Nikolay Semenov
Peace,Norman Borlaug
Physics,Norman F. Ramsey
Chemistry,Norman Haworth
Literature,Octavio Paz
Chemistry,Odd Hassel
Literature,Odysseus Elytis
Peace,Office of the United Nations High Commissioner for Refugees
Literature,Olga Tokarczuk
Economic Sciences,Oliver E. Williamson
Economic Sciences,Oliver Hart
Physiology or Medicine,Oliver Smithies
Peace,Organisation for the Prohibition of Chemical Weapons
Literature,Orhan Pamuk
Chemistry,Osamu Shimomura
Peace,Oscar Arias Sánchez
Chemistry,Otto Diels
Chemistry,Otto Hahn
Physiology or Medicine,Otto Loewi
Physiology or Medicine,Otto Meyerhof
Physics,Otto Stern
